,place_name,place_types,presence_likelihood,datetime,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_4_hours,type_1_day,type_7_days
10663,New Space Ltd,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.106990852355957,2010-07-08 12:40:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,HEALTH,BOOK_STORE,STORE
10662,Makan Houston,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1756111526489258,2010-07-08 12:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HEALTH,BOOK_STORE,STORE
10661,Pitshanger Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.2627582931518554,2010-07-08 12:00:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,HEALTH,BOOK_STORE,STORE
10660,Perivale MiniCabs,"POINT_OF_INTEREST,ESTABLISHMENT,",0.08652757644653321,2010-07-08 11:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HEALTH,BOOK_STORE,STORE
10659,Ealing Golf Club,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.2870391845703125,2010-07-08 11:00:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,HEALTH,BOOK_STORE,STORE
10658,Pitshanger FC Clubhouse 2,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2981159973144532,2010-07-08 10:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HEALTH,BOOK_STORE,STORE
10657,Zipcar - Argyle Rd,"CAR_RENTAL,POINT_OF_INTEREST,ESTABLISHMENT,",0.1984022521972656,2010-07-08 10:20:00,CAR_RENTAL,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,BAR,BOOK_STORE,STORE
10656,Ealing Painting,"PAINTER,POINT_OF_INTEREST,ESTABLISHMENT,",0.1187478160858154,2010-07-08 10:00:00,PAINTER,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CAR_DEALER,BOOK_STORE,STORE
10655,Holy Cross Convent,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.1084816551208496,2010-07-08 09:40:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,CAR_DEALER,BOOK_STORE,STORE
10654,Thames Homecare Service,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.1942346572875976,2010-07-08 09:20:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CAR_DEALER,BOOK_STORE,STORE
10653,Makan Houston,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1312952709197998,2010-07-08 09:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,REAL_ESTATE_AGENCY,BOOK_STORE,STORE
10652,Thames Homecare Service,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2726139640808106,2010-07-08 08:40:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,ELECTRONICS_STORE,BOOK_STORE,STORE
10651,Thames Homecare Service,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2726139640808106,2010-07-08 08:20:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,ELECTRONICS_STORE,BOOK_STORE,STORE
10650,Thames Homecare Service,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2726139640808106,2010-07-08 08:00:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,SCHOOL,BOOK_STORE,STORE
10649,Thames Homecare Service,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2726139640808106,2010-07-08 07:40:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,TOURIST_ATTRACTION,BOOK_STORE,STORE
10648,Thames Homecare Service,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2726139640808106,2010-07-08 07:20:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,TRAVEL_AGENCY,BOOK_STORE,STORE
10647,DIZarchitects,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1089538860321045,2010-07-08 07:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10646,J&J Richardson Electrical Ltd,"ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,",0.2474643898010254,2010-07-08 01:00:00,ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10645,J&J Richardson Electrical Ltd,"ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,",0.2474643898010254,2010-07-08 00:40:00,ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10644,J&J Richardson Electrical Ltd,"ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,",0.2474643898010254,2010-07-08 00:20:00,ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10643,M2 It,"ELECTRONICS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1486024284362793,2010-07-08 00:00:00,ELECTRONICS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10642,Natasha Wiening Photography,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3583684539794922,2010-07-07 23:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10641,Natasha Wiening Photography,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3583684539794922,2010-07-07 23:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10640,Natasha Wiening Photography,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3583684539794922,2010-07-07 23:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10639,Woodfield Heating & plumbing Services,"PLUMBER,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.1207071399688721,2010-07-07 22:40:00,PLUMBER,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10638,Sns It Ltd,"ELECTRONICS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1327763748168945,2010-07-07 22:20:00,ELECTRONICS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,BOOK_STORE,BOOK_STORE,STORE
10637,Lanzarote Guidebook,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1285735607147217,2010-07-07 22:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BANK,BANK,STORE
10636,Castlebar Childcare,"POINT_OF_INTEREST,ESTABLISHMENT,",0.09585093498229981,2010-07-07 21:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BANK,BANK,STORE
10635,Lanzarote Guidebook,"POINT_OF_INTEREST,ESTABLISHMENT,",0.254972915649414,2010-07-07 21:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BANK,BANK,STORE
10634,Notting Hill & Ealing High School,"SCHOOL,POINT_OF_INTEREST,ESTABLISHMENT,",0.245618839263916,2010-07-07 21:00:00,SCHOOL,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,BANK,BANK,STORE
10633,Doorstep Distribution,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3994843673706054,2010-07-07 20:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BANK,BANK,STORE
10632,Doorstep Distribution,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3994843673706054,2010-07-07 20:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BANK,BANK,STORE
10631,Doorstep Distribution,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3994843673706054,2010-07-07 19:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BANK,BANK,STORE
10630,Positive Communications Global Limited,"POINT_OF_INTEREST,ESTABLISHMENT,",0.08213081359863281,2010-07-07 19:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,BANK,HOSPITAL,STORE
10629,Ealing Liberal Synagogue,"PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.1125270557403564,2010-07-07 19:00:00,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CLOTHING_STORE,HOSPITAL,STORE
10628,The Avenue Surgery,"DOCTOR,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.1497489929199219,2010-07-07 18:40:00,DOCTOR,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,ACCOUNTING,HOSPITAL,STORE
10627,Sasan Telecom Ltd,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1963854026794433,2010-07-07 18:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,ACCOUNTING,HOSPITAL,STORE
10626,London Broncos RLFC,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1274032783508301,2010-07-07 18:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,ACCOUNTING,HOSPITAL,STORE
10625,Empowering Action and Social Esteem,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2328616142272949,2010-07-07 17:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10624,Empowering Action and Social Esteem,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2328616142272949,2010-07-07 17:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10623,Empowering Action and Social Esteem,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2328616142272949,2010-07-07 17:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10622,YMAA OrientSport,"HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2346820068359375,2010-07-07 16:40:00,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10621,Empowering Action and Social Esteem,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3924740982055664,2010-07-07 16:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10620,Empowering Action and Social Esteem,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3924740982055664,2010-07-07 16:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10619,Castlebar school,"PRIMARY_SCHOOL,SCHOOL,POINT_OF_INTEREST,ESTABLISHMENT,",0.2514785003662109,2010-07-07 15:40:00,PRIMARY_SCHOOL,SCHOOL,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10618,McPartlin Ciaron,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3491104507446289,2010-07-07 15:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10617,West London Tree Care,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1693290710449219,2010-07-07 15:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10616,The Argyle Surgery,"DOCTOR,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.1149453830718994,2010-07-07 14:40:00,DOCTOR,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10615,Perfectly Put Together,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.3157744598388672,2010-07-07 14:20:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10614,Perfectly Put Together,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.3157744598388672,2010-07-07 14:00:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,HOSPITAL,HOSPITAL,STORE
10613,Hosted Telecoms UK,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1510342884063721,2010-07-07 13:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HOSPITAL,STORAGE,STORE
10612,Ealing Computer Services,"ELECTRONICS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.05997065544128418,2010-07-07 13:00:00,ELECTRONICS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,LODGING,STORAGE,STORE
10611,Arya Samaj London,"HINDU_TEMPLE,TOURIST_ATTRACTION,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.2074548149108887,2010-07-07 12:40:00,HINDU_TEMPLE,TOURIST_ATTRACTION,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,LODGING,STORAGE,STORE
10610,Arya Samaj London,"HINDU_TEMPLE,TOURIST_ATTRACTION,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.2074548149108887,2010-07-07 12:20:00,HINDU_TEMPLE,TOURIST_ATTRACTION,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,LODGING,STORAGE,STORE
10609,Arya Samaj London,"HINDU_TEMPLE,TOURIST_ATTRACTION,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.2074548149108887,2010-07-07 12:00:00,HINDU_TEMPLE,TOURIST_ATTRACTION,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,LODGING,STORAGE,STORE
10608,Perfectly Put Together,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.3310613632202148,2010-07-07 11:20:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,LODGING,STORAGE,STORE
10607,Perfectly Put Together,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.269184398651123,2010-07-07 10:40:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,SUPERMARKET,STORAGE,STORE
10606,Perfectly Put Together,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.269184398651123,2010-07-07 10:20:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,RESTAURANT,FURNITURE_STORE,STORE
10605,Perfectly Put Together,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.269184398651123,2010-07-07 10:00:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,RESTAURANT,FURNITURE_STORE,STORE
10604,Perfectly Put Together,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.269184398651123,2010-07-07 09:40:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,RESTAURANT,FURNITURE_STORE,STORE
10603,UR Local,"GROCERY_OR_SUPERMARKET,LIQUOR_STORE,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1258424186706543,2010-07-07 09:20:00,GROCERY_OR_SUPERMARKET,LIQUOR_STORE,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,RESTAURANT,FURNITURE_STORE,STORE
10602,Better Heating & Lighting Ltd,"ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,",0.2150876808166504,2010-07-07 09:00:00,ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10601,Valley House,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3080423736572266,2010-07-07 08:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10600,Kujawiak Polski Sklep,"GROCERY_OR_SUPERMARKET,SUPERMARKET,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1184077167510986,2010-07-07 08:20:00,GROCERY_OR_SUPERMARKET,SUPERMARKET,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10599,Royal Mail West Ealing Delivery Office,"POST_OFFICE,FINANCE,POINT_OF_INTEREST,ESTABLISHMENT,",0.3475742340087891,2010-07-07 08:00:00,POST_OFFICE,FINANCE,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10598,Ros Mor Bed and Breakfast (B&B) Ealing,"LODGING,POINT_OF_INTEREST,ESTABLISHMENT,",0.1067460918426514,2010-07-07 07:40:00,LODGING,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10597,St Stephenâs,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.1763944625854492,2010-07-07 07:20:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10596,Ros Mor Bed and Breakfast (B&B) Ealing,"LODGING,POINT_OF_INTEREST,ESTABLISHMENT,",0.09712337493896485,2010-07-07 07:00:00,LODGING,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10595,Merril Jenkins and Stephen Rose - Vocal Coach Singing Teache,"SCHOOL,POINT_OF_INTEREST,ESTABLISHMENT,",0.1330996227264404,2010-07-07 01:00:00,SCHOOL,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10594,Ros Mor Bed and Breakfast (B&B) Ealing,"LODGING,POINT_OF_INTEREST,ESTABLISHMENT,",0.1194478034973145,2010-07-07 00:00:00,LODGING,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10593,Tesco Express,"SUPERMARKET,CONVENIENCE_STORE,GROCERY_OR_SUPERMARKET,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.6145431137084961,2010-07-06 23:40:00,SUPERMARKET,CONVENIENCE_STORE,GROCERY_OR_SUPERMARKET,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10592,Finiks London,"POINT_OF_INTEREST,CLOTHING_STORE,STORE,ESTABLISHMENT,",0.05071732521057129,2010-07-06 23:00:00,POINT_OF_INTEREST,CLOTHING_STORE,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10591,Tesco Express,"SUPERMARKET,CONVENIENCE_STORE,GROCERY_OR_SUPERMARKET,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.09933710098266602,2010-07-06 22:40:00,SUPERMARKET,CONVENIENCE_STORE,GROCERY_OR_SUPERMARKET,FOOD,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,ELECTRONICS_STORE,FURNITURE_STORE,STORE
10590,WATER STONE PLUMBERS - Bathrooms Fitters Ealing,"PLUMBER,HOME_GOODS_STORE,GENERAL_CONTRACTOR,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1609493064880371,2010-07-06 22:20:00,PLUMBER,HOME_GOODS_STORE,GENERAL_CONTRACTOR,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,STORAGE,FURNITURE_STORE,STORE
10589,Blondin Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.2766961479187012,2010-07-06 22:00:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,ELECTRONICS_STORE,FURNITURE_STORE,STORE
10588,Blondin Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.2766961479187012,2010-07-06 21:40:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,ELECTRONICS_STORE,FURNITURE_STORE,STORE
10587,Blondin Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.2766961479187012,2010-07-06 21:20:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,GENERAL_CONTRACTOR,FURNITURE_STORE,STORE
10586,Blondin Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.2766961479187012,2010-07-06 21:00:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,PLUMBER,FURNITURE_STORE,STORE
10585,West London Fencing,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.1386030673980713,2010-07-06 20:40:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,PLUMBER,FURNITURE_STORE,STORE
10584,An-contracts,"POINT_OF_INTEREST,ESTABLISHMENT,",0.4545507431030273,2010-07-06 20:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,PLUMBER,FURNITURE_STORE,STORE
10583,West London Fencing,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.1345416069030762,2010-07-06 20:00:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,PLUMBER,FURNITURE_STORE,STORE
10582,Northfields Lul Depot,"POINT_OF_INTEREST,ESTABLISHMENT,",0.344538459777832,2010-07-06 19:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,PLUMBER,FURNITURE_STORE,STORE
10581,Northfields Lul Depot,"POINT_OF_INTEREST,ESTABLISHMENT,",0.344538459777832,2010-07-06 19:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,TRAVEL_AGENCY,FURNITURE_STORE,STORE
10580,Northfields Lul Depot,"POINT_OF_INTEREST,ESTABLISHMENT,",0.344538459777832,2010-07-06 19:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,LAUNDRY,FURNITURE_STORE,STORE
10579,Northfields Lul Depot,"POINT_OF_INTEREST,ESTABLISHMENT,",0.344538459777832,2010-07-06 18:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HEALTH,FURNITURE_STORE,STORE
10578,Zipcar,"POINT_OF_INTEREST,ESTABLISHMENT,",0.192034969329834,2010-07-06 18:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,HEALTH,FURNITURE_STORE,STORE
10577,Travelhire,"POINT_OF_INTEREST,ESTABLISHMENT,",0.06961968421936035,2010-07-06 18:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,STORE,FURNITURE_STORE,STORE
10576,Boston Manor Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.4338630294799805,2010-07-06 17:40:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,STORE,FURNITURE_STORE,STORE
10575,Boston Manor Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.4338630294799805,2010-07-06 17:20:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,HOME_GOODS_STORE,FURNITURE_STORE,STORE
10574,Boston Manor Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.4338630294799805,2010-07-06 17:00:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,FURNITURE_STORE,FURNITURE_STORE,STORE
10573,Blondin Allotments,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3129241371154785,2010-07-06 16:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,FURNITURE_STORE,FURNITURE_STORE,STORE
10572,Zipcar,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1148868370056152,2010-07-06 16:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,FINANCE,FURNITURE_STORE,STORE
10571,Boston Manor Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.3128297233581543,2010-07-06 14:40:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,FINANCE,FURNITURE_STORE,STORE
10570,Boston Manor Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.3128297233581543,2010-07-06 14:20:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,CAR_RENTAL,FURNITURE_STORE,STORE
10569,Boston Manor Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.3128297233581543,2010-07-06 14:00:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,CAR_RENTAL,FURNITURE_STORE,STORE
10568,Boston Manor Park,"PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,",0.3128297233581543,2010-07-06 13:40:00,PARK,TOURIST_ATTRACTION,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,CAR_RENTAL,FURNITURE_STORE,STORE
